"","study","taxon","phylum","common_name","number_of_populations","ecosystem","dispersal_mode","acclimation_time","source_population","latitude","longitude","life_history_stage","sex","acclimation_temperature_1","acclimation_temperature_2","measurement_level","thermal_limit_type","thermal_limit_1","thermal_limit_2","thermal_limit_error_type","thermal_limit_error_1","thermal_limit_error_2","n_1","n_2","max_temp","min_temp","mean_temp","temp_range","upper_lower","ARR"
"70","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,20,"individual","CTmax",25.84557439,32.14689266,"std_err",0.199999999999999,0.259999999999899,11,11,16.9875,-14.0125,0.75,31,"upper",0.420087884666667
"71","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,20,"individual","CTmax",26.76836158,32.2787194,"std_err",0.1600000000001,0.24,11,11,20.2625,-19.0625,0.4375,39.325,"upper",0.367357188
"72","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,20,"individual","CTmax",26.16195857,32.04143126,"std_err",0.159999999999901,0.219999999999999,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"upper",0.391964846
"73","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",5,25,"individual","CTmax",25.84557439,35.70621469,"std_err",0.199999999999999,0.340000000000003,11,11,16.9875,-14.0125,0.75,31,"upper",0.493032015
"74","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",5,25,"individual","CTmax",26.76836158,35.94350282,"std_err",0.1600000000001,0.159999999999997,11,11,20.2625,-19.0625,0.4375,39.325,"upper",0.458757062
"75","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",5,25,"individual","CTmax",26.16195857,35.41619586,"std_err",0.159999999999901,0.120000000000005,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"upper",0.4627118645
"76","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",10,20,"individual","CTmax",26.37288136,32.14689266,"std_err",0.500000000000099,0.259999999999899,11,11,16.9875,-14.0125,0.75,31,"upper",0.57740113
"77","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",10,20,"individual","CTmax",27.45386064,32.2787194,"std_err",0.260000000000097,0.24,11,11,20.2625,-19.0625,0.4375,39.325,"upper",0.482485876
"78","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",10,20,"individual","CTmax",26.18832392,32.04143126,"std_err",0.16,0.219999999999999,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"upper",0.585310734
"79","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",10,25,"individual","CTmax",26.37288136,35.70621469,"std_err",0.500000000000099,0.340000000000003,11,11,16.9875,-14.0125,0.75,31,"upper",0.622222222
"80","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","liard_hot_spring",59.428525,-126.0884222,"adult","uncertain",10,25,"individual","CTmax",27.45386064,35.94350282,"std_err",0.260000000000097,0.159999999999997,11,11,20.2625,-19.0625,0.4375,39.325,"upper",0.565976145333333
"81","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","green_lake",51.37627778,-121.2630472,"adult","uncertain",10,25,"individual","CTmax",26.18832392,35.41619586,"std_err",0.16,0.120000000000005,11,11,22.5333333333333,-10.2333333333333,4.73333333333333,32.7666666666667,"upper",0.615191462666667
"82","Darveau_et_al_2012","Couesius_plumbeus","Chordata","lake_chub",3,"freshwater","direct","<1","Atlin_warm_spring",59.40388333,-133.5753361,"adult","uncertain",20,25,"individual","CTmax",32.14689266,35.70621469,"std_err",0.259999999999899,0.340000000000003,11,11,16.9875,-14.0125,0.75,31,"upper",0.711864406000001
