,study,ecosystem,population,latitude,longitude,acc_temp_1,acc_temp_2,limit_1,limit_2,ARR,limit_type,upper_lower,sex,mean_temp,temp_range,acc_time,taxon,phylum,common_name,model_arr,lat_slope,range_slope,lim_slope
300,Wood_et_al_2014,ocean,Kalmar,56.651083,16.33902,12,18,21.6,27.966,1.061,CTmax,upper,uncertain,9.597999573,18.56999958,1,44,2,17,1.061,0.173876792,-0.140561168,-0.216022925
301,Wood_et_al_2014,ocean,Malmo,55.570299,12.896592,12,18,25.629,26.738,0.184833333,CTmax,upper,uncertain,9.895999908,17.81599963,1,44,2,17,0.184833333,0.173876792,-0.140561168,-0.216022925
302,Wood_et_al_2014,ocean,Oregrund,60.348682,18.453861,12,18,20.784,28.153,1.228166667,CTmax,upper,uncertain,7.222000122,15.21299988,1,44,2,17,1.228166667,0.173876792,-0.140561168,-0.216022925
305,Underwood_et_al_2012,freshwater,Lake_Nanita,40.25667,-105.71667,10,20,27.7,29.1,0.14,CTmax,upper,uncertain,-0.5,35.025,2,76,3,10,0.14,-0.015210683,0.001310616,0.00755814
308,Underwood_et_al_2012,freshwater,Trapper_Creek,39.62333,-108.00833,10,20,28,29.6,0.16,CTmax,upper,uncertain,5,38.35,2,76,3,10,0.16,-0.015210683,0.001310616,0.00755814
310,Barria_et_al_2017,terrestrial,Carrera_Pinto,-27.1,-69.883,10,20,38.664,39.618,0.0954,CTmax,upper,uncertain,15.3,20.7,1,85,3,11,0.0954,-0.006915129,-0.073490196,-0.032100034
311,Barria_et_al_2017,terrestrial,El_Caulle,-40.65,-72.167,10,20,35.745,37.636,0.1891,CTmax,upper,uncertain,10.3,19.425,1,85,3,11,0.1891,-0.006915129,-0.073490196,-0.032100034
312,Manis_and_Claussen_1986,terrestrial,Kentucky,37.56666667,-84.3,15,20,27.3,36.7,1.88,CTmax,upper,uncertain,13.525,31.175,2,96,3,11,1.88,-0.101763238,-0.152985438,-0.097217069
313,Manis_and_Claussen_1986,terrestrial,Michigan,42.75,-83.21666667,15,20,27.1,33.9,1.36,CTmax,upper,uncertain,8.8,34.6,2,96,3,11,1.36,-0.101763238,-0.152985438,-0.097217069
314,Manis_and_Claussen_1986,terrestrial,NY-R,42.51666667,-74.11666667,15,20,26.1,33.8,1.54,CTmax,upper,uncertain,7.875,34.425,2,96,3,11,1.54,-0.101763238,-0.152985438,-0.097217069
315,Manis_and_Claussen_1986,terrestrial,Ohio,38.8,-83.4,15,20,26,35.9,1.98,CTmax,upper,uncertain,12.575,32.525,2,96,3,11,1.98,-0.101763238,-0.152985438,-0.097217069
318,Yu_et_al_2018,freshwater,Gaizhou,40.4,122.75,14,29,32.4,35.75,0.223333333,CTmax,upper,uncertain,9.225,42.1,1,98,3,10,0.2022,-0.010439122,-0.010728205,0.010376984
324,Yu_et_al_2018,freshwater,Gaizhou,40.4,122.75,14,29,0,3.76,0.250666667,CTmin,lower,uncertain,9.225,42.1,1,98,3,10,0.2516,-0.010439122,-0.010728205,0.010376984
330,Yu_et_al_2018,freshwater,Hangzhou,30.38,120.15,14,29,32.39,35.71,0.221333333,CTmax,upper,uncertain,17.5,32.35,1,98,3,10,0.2026,-0.010439122,-0.010728205,0.010376984
336,Yu_et_al_2018,freshwater,Hangzhou,30.38,120.15,14,29,0,5.27,0.351333333,CTmin,lower,uncertain,17.5,32.35,1,98,3,10,0.3562,-0.010439122,-0.010728205,0.010376984
340,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,23,47.8,47.2,-0.3,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
341,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,25,47.8,47.5,-0.075,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
342,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,27,47.8,47,-0.133333333,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
343,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,21,29,47.8,47.33333333,-0.058333334,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
344,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,25,47.2,47.5,0.15,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
345,Diamond_et_al_2018,terrestrial,Cin_rural,39.17062716,-84.56639672,23,27,47.2,47,-0.05,CTmax,upper,female,12.37666667,33.6775,2,103,2,3,-0.056666667,-0.04068836,-0.112661972,-0.00977822
