Pop	ID	treat	CT	S0	S24	W	min/max	device	date
He	HE46	24	-1,6	y	y	0,351	min	huber	24/8/15
He	HE47	24	-0,6	y	y	0,483	min	huber	24/8/15
He	HE48	24	-1,4	y	y	0,319	min	huber	24/8/15
He	HE49	24	-2	y	y	0,424	min	huber	24/8/15
He	HE50	24	-1,2	y	y	0,361	min	huber	24/8/15
He	HE51	24	-1,8	y	y	0,421	min	huber	24/8/15
He	HE52	14	36,2	y	y	0,512	max	resist	24/8/15
He	HE53	14	36,6	y	y	0,569	max	resist	24/8/15
He	HE54	14	35,6	y	y	0,405	max	resist	24/8/15
He	HE55	14	36	y	y	0,46	max	resist	24/8/15
He	HE56	14	34,2	y	y	0,483	max	resist	24/8/15
He	HE57	14	36,6	y	y	0,574	max	resist	24/8/15
He	HE58	14	-2	y	y	0,507	min	huber	24/8/15
He	HE59	14	NA	NA	NA	NA	min	huber	24/8/15
He	HE60	14	NA	NA	NA	NA	min	huber	24/8/15
He	HE61	14	-2,2	y	y	0,383	min	huber	24/8/15
He	HE62	14	-2,2	y	y	0,46	min	huber	24/8/15
He	HE63	14	NA	NA	NA	NA	min	huber	24/8/15
Sen	Sen84	24	36,4	y	y	0,331	max	resist	25/8/15
Sen	Sen85	24	35,6	y	y	0,291	max	resist	25/8/15
Sen	Sen86	24	35,4	y	y	0,141	max	resist	25/8/15
Sen	Sen87	24	36	y	y	0,288	max	resist	25/8/15
Sen	Sen88	24	36	y	y	0,319	max	resist	25/8/15
Sen	Sen89	24	35,8	y	y	0,375	max	resist	25/8/15
Sen	Sen90	24	-1,4	y	y	0,433	min	huber	25/8/15
Sen	Sen91	24	-1,4	y	y	0,3	min	huber	25/8/15
Sen	Sen92	24	-1,4	y	y	0,297	min	huber	25/8/15
Sen	Sen93	24	-1,6	y	y	0,28	min	huber	25/8/15
Sen	Sen94	24	-0,8	y	y	0,298	min	huber	25/8/15
Sen	Sen95	24	-1	y	y	0,2	min	huber	25/8/15
Sen	Sen96	24	33,4	y	y	0,187	max	resist	25/8/15
Sen	Sen97	14	35,4	y	y	0,28	max	resist	25/8/15
Sen	Sen98	14	35	y	y	0,267	max	resist	25/8/15
Sen	Sen99	14	35,4	y	y	0,255	max	resist	25/8/15
Sen	Sen100	14	35,6	y	y	0,305	max	resist	25/8/15
Sen	Sen101	14	35,4	y	y	0,283	max	resist	25/8/15
Sen	Sen102	14	35,6	y	y	0,398	max	resist	25/8/15
He	HE64	14	-1,6	y	y	0,371	min	huber	25/8/15
He	HE65	14	-2,2	y	y	0,408	min	huber	25/8/15
He	HE66	14	-2	y	y	0,44	min	huber	25/8/15
He	HE67	14	-2	y	y	0,477	min	huber	25/8/15
He	HE68	14	-2	y	y	0,508	min	huber	25/8/15
He	HE69	14	-1,6	y	y	0,341	min	huber	25/8/15
He	HE70	24	34,4	y	y	0,268	max	resist	25/8/15
He	HE71	24	34,8	y	y	0,281	max	resist	25/8/15
He	HE72	24	35,2	y	y	0,266	max	resist	25/8/15
He	HE73	24	36	y	y	0,433	max	resist	25/8/15
He	HE74	24	36	y	y	0,471	max	resist	25/8/15
He	HE75	24	34,8	y	y	0,379	max	resist	25/8/15
He	HE76	24	36	y	y	0,405	max	resist	25/8/15
He	HE77	24	-2	y	y	0,53	min	huber	25/8/15
He	HE78	24	-0,6	y	y	0,292	min	huber	25/8/15
He	HE79	24	NA	NA	NA	NA	min	huber	25/8/15
He	HE80	24	NA	NA	NA	NA	min	huber	25/8/15
He	HE81	24	-1,4	y	y	0,327	min	huber	25/8/15
He	HE82	24	NA	NA	NA	NA	min	huber	25/8/15
He	HE83	24	34,2	y	n	NA	max	resist	26/8/15
He	HE84	24	34,8	?	n	NA	max	resist	26/8/15
He	HE85	24	-0,6	y	y	0,334	min	huber	26/8/15
He	HE86	24	-0,2	y	y	0,31	min	huber	26/8/15
He	HE87	24	-1	y	y	0,26	min	huber	26/8/15
He	HE88	14	35,4	y	y	0,497	max	resist	26/8/15
He	HE89	14	35	y	y	0,378	max	resist	26/8/15
He	HE90	14	35,2	?	n	NA	max	resist	26/8/15
He	HE91	14	36,6	y	y	0,539	max	resist	26/8/15
He	HE92	14	34,6	y	y	0,46	max	resist	26/8/15
He	HE93	14	34,6	y	y	0,354	max	resist	26/8/15
He	HE94	14	-1,2	y	y	0,404	min	huber	26/8/15
He	HE95	14	-2	y	y	0,371	min	huber	26/8/15
He	HE96	14	-2	y	y	0,423	min	huber	26/8/15
He	HE97	14	-1,2	y	y	0,306	min	huber	26/8/15
He	HE98	14	-1,4	y	y	0,468	min	huber	26/8/15
Vid	Vid1	24	36	y	y	0,531	max	resist	14/10/15
Vid	Vid2	24	35,6	y	y	0,497	max	resist	14/10/15
Vid	Vid3	24	35,6	y	y	0,685	max	resist	14/10/15
Vid	Vid4	24	35,4	y	y	0,493	max	resist	14/10/15
Vid	Vid5	24	37	y	y	0,901	max	resist	14/10/15
Vid	Vid6	24	34,6	y	y	0,419	max	resist	14/10/15
Vid	Vid7	24	34,8	y	y	0,407	max	resist	14/10/15
Vid	Vid8	24	36,1	y	y	0,831	max	resist	14/10/15
Vid	Vid9	24	-1,9	y	y	0,582	min	huber	14/10/15
Vid	Vid10	24	-2	y	y	0,528	min	huber	14/10/15
Vid	Vid11	24	-2	y	y	0,51	min	huber	14/10/15
Vid	Vid12	24	-1,6	y	y	0,35	min	huber	14/10/15
Vid	Vid13	24	-2	y	y	0,985	min	huber	14/10/15
Vid	Vid14	24	-1,8	y	y	0,266	min	huber	14/10/15
Vid	Vid15	14	33,6	y	y	0,562	max	resist	15/10/15
Vid	Vid16	14	34	y	y	0,351	max	resist	15/10/15
Vid	Vid17	14	34	y	y	0,626	max	resist	15/10/15
Vid	Vid18	14	35,2	y	y	0,583	max	resist	15/10/15
Vid	Vid19	14	35,8	y	y	0,616	max	resist	15/10/15
Vid	Vid20	14	35,3	y	y	0,578	max	resist	15/10/15
Vid	Vid21	14	35,6	y	y	0,673	max	resist	15/10/15
Vid	Vid22	14	34	y	y	0,689	max	resist	15/10/15
Vid	Vid23	14	-1,6	y	y	0,429	min	huber	15/10/15
Vid	Vid24	14	-1,6	y	y	1,191	min	huber	15/10/15
Vid	Vid25	14	-1,4	y	y	0,322	min	huber	15/10/15
Vid	Vid26	14	-1,4	y	y	0,453	min	huber	15/10/15
Vid	Vid27	14	-1,2	y	y	0,484	min	huber	15/10/15
Vid	Vid28	14	-2	y	y	0,529	min	huber	15/10/15
Vid	Vid29	24	36,4	y	y	0,56	max	resist	20/10/15
Vid	Vid30	24	34,8	y	y	0,482	max	resist	20/10/15
Vid	Vid31	24	36,6	y	y	0,402	max	resist	20/10/15
Vid	Vid32	24	34,3	y	y	0,496	max	resist	20/10/15
Vid	Vid33	24	34,6	y	y	0,296	max	resist	20/10/15
Vid	Vid34	24	34,7	y	y	0,486	max	resist	20/10/15
Vid	Vid35	24	35,6	y	y	0,396	max	resist	20/10/15
Vid	Vid36	24	35,2	y	y	0,34	max	resist	20/10/15
Vid	Vid37	24	-2,2	y	y	0,497	min	huber	20/10/15
Vid	Vid38	24	-3	y	y	0,545	min	huber	20/10/15
Vid	Vid39	24	-1,8	y	y	0,243	min	huber	20/10/15
Vid	Vid40	24	-2,6	y	y	0,51	min	huber	20/10/15
Vid	Vid41	24	-1,4	y	y	0,373	min	huber	20/10/15
Vid	Vid42	24	-1,8	y	y	0,655	min	huber	20/10/15
Vid	Vid43	14	34,3	y	y	0,491	max	resist	20/10/15
Vid	Vid44	14	35,6	y	y	0,615	max	resist	20/10/15
